lc_idx,bls_period,bls_duration,bls_t0,bls_power,bls_depth_ppm,bls_depth_err_ppm,label,activity_class,planet_present,planet_period_days,transit_depth_ppm,star_mass_msun,star_radius_rsun,file_id,above_threshold,period_match,recovered
0,3.3445789257746297,0.1,1.4209187494678264,822055.5867108891,91.82232490457268,0.072713919698109,2,mild,1,3.3447,88.5624643903712,1.129244454176928,1.2309197169994996,0000001003,True,True,True
1,16.70415947435826,0.15000000000000002,9.445918749467827,3016322.8862039875,325.32428551216344,0.1330396562549454,3,strong,1,16.6958,426.30475958818823,1.1198731309057504,1.2622446115185475,0000001359,True,True,True
2,0.6150441534414096,0.25,0.14591874946782618,26956.29475807944,4.500274757449343,0.025293037052308055,1,strong,0,,,0.9582178044779328,0.9049090692431206,0000000713,True,False,True
3,0.8019793510166763,0.05,0.7959187494678263,9858.402120518913,6.968755788800146,0.051261002148724706,0,mild,0,,,1.0941019919100112,1.0032833263319128,0000000316,False,False,False
4,12.66785466952688,0.15000000000000002,5.3959187494678265,339948.8451471609,94.58341419463964,0.11538651195694034,3,strong,1,12.6726,122.00184883407616,1.0812164224121417,1.1890727666689471,0000001301,True,True,True
5,0.508832610880018,0.25,0.14591874946782618,17362.68794000513,3.2992754023348634,0.024848780233921595,0,mild,0,,,1.065988022096431,1.1716799321641116,0000000345,True,False,True
6,0.533260570465623,0.25,0.4459187494678262,23541.17161834848,3.4493830820566402,0.024894109506068487,1,strong,0,,,1.016788574922794,0.9284620153149762,0000000442,True,False,True
7,23.060189099853947,0.15000000000000002,8.745918749467826,1723828.9382077472,283.157359341405,0.1530070776973354,2,mild,1,23.062,245.7929367994159,0.903161280259804,0.8558677871759652,0000000787,True,True,True
8,0.5268080479284866,0.25,0.3959187494678262,14521.499474235517,3.074251895138782,0.024878268807540637,0,mild,0,,,1.0683308529142723,1.1266816925875762,0000000332,False,False,False
9,14.956276361315798,0.15000000000000002,7.495918749467827,112201.22570860463,59.21391984486329,0.12562189438599938,3,strong,1,14.9604,81.91664435705867,1.000388759198233,1.0484742760947012,0000001131,True,True,True
10,0.5232060063261202,0.15000000000000002,0.24591874946782621,13909.065153459638,3.869377604991579,0.027469431883533107,1,strong,0,,,0.9219039268021187,0.973557061833379,0000000519,False,False,False
11,0.6602604594245417,0.1,0.2209187494678262,11959.354419353407,4.925274144068127,0.03458634887498318,0,mild,0,,,1.1936723016662756,1.4042675752221547,0000000189,False,False,False
12,11.181390564082683,0.15000000000000002,2.7959187494678264,645518.6963915396,121.8175285493614,0.10793828773482352,2,mild,1,11.1822,150.29230573510242,1.194843717075173,1.39227834020187,0000001092,True,True,True
13,23.70975135545263,0.25,9.645918749467826,7487627.696528856,476.33791470522567,0.123723175277265,3,strong,1,23.7131,768.6064730262117,0.9781318664291856,1.1903815171925896,0000001388,True,True,True
14,35.31537682763167,0.25,14.545918749467827,2072247.6052154168,293.8429005732638,0.14487513924117296,2,mild,1,35.2966,581.856153368963,0.9816461126558772,1.0664358727861625,0000000958,True,True,True
15,0.5085081331806853,0.25,0.2459187494678262,53725.268299892974,5.807395565282198,0.024848651191252073,1,strong,0,,,1.0812164224121417,1.2007405391058144,0000000432,True,False,True
16,15.84800202861188,0.25,8.395918749467826,26668177.760074735,723.1220134085086,0.09980335931562886,2,mild,1,15.8425,801.7859947583567,1.0542738680075054,1.1314352315176643,0000001037,True,True,True
17,0.5011079866914645,0.25,0.2959187494678262,9945.089999503603,2.4799866837254454,0.024845242351615723,0,mild,0,,,1.108158976816778,1.1019611746888422,0000000286,False,False,False
18,22.71446959945483,0.25,4.545918749467827,1715370.1127302558,218.28689790746185,0.1185113657849943,2,mild,1,22.6989,295.163453455928,0.995703097562644,0.9757149080258852,0000000817,True,True,True
19,0.5440996591646122,0.25,0.3459187494678262,24845.822016779057,4.086252688317455,0.024928089241460633,3,strong,1,45.1357,96.55247645364967,1.1714154088972284,1.3785394000076667,0000001179,True,False,False
20,11.340404941557164,0.15000000000000002,0.24591874946782621,4786061.785184948,329.80923498512914,0.1073316445442934,3,strong,1,11.3401,310.50672204930123,0.9418179887533716,1.0147494813671305,0000001366,True,True,True
21,42.08377756579316,0.25,7.1459187494678265,1186634.7185397241,237.71078050555113,0.15480585115252732,2,mild,1,42.079,441.3728264611979,1.0847306686388336,1.12313034665574,0000000988,True,True,True
22,0.6716164959883009,0.25,0.6459187494678262,23537.897799921982,4.781231095298512,0.025700705954326965,1,strong,0,,,1.0730165145498611,1.1581241339967083,0000000421,True,False,True
23,43.53485807163174,0.25,42.19591874946783,36375.42982146906,44.953945458700694,0.1671315676162189,2,mild,1,43.5534,90.95254988556982,0.9219039268021187,1.0388468676517166,0000001050,True,True,True
24,34.122344055689524,0.25,28.845918749467828,12322426.41535427,716.5433929449733,0.14487513924117296,3,strong,1,34.1286,1080.6594409680008,0.983988943473672,1.0428979250597366,0000001369,True,True,True
25,6.158896617421225,0.15000000000000002,4.1459187494678265,25020469.803109247,562.7742066178001,0.08054372549049776,3,strong,1,6.1583,568.9563729286233,0.9371323271177828,1.0615284038467212,0000001293,True,True,True
26,0.5047641225931203,0.25,0.14591874946782618,42668.34807000175,5.14498193333516,0.024846337051685315,1,strong,0,,,1.0800450070032448,1.1376947088489036,0000000678,True,False,True
27,32.30353412443736,0.25,20.445918749467825,129677.54706957594,73.50667403643698,0.14487513924117296,2,mild,1,32.2963,148.6394241812778,1.1573584239904615,1.3288941080439474,0000000839,True,True,True
28,19.599759568268237,0.15000000000000002,17.695918749467825,110288.76607193162,68.50648861081936,0.14639687228050138,2,mild,1,19.5939,79.60699010849383,1.016788574922794,1.1190789419652072,0000000913,True,True,True
29,7.194142813291381,0.15000000000000002,4.245918749467827,673722.9119370821,100.65372128280416,0.08761479180342166,3,strong,1,7.195,126.32589947995976,1.129244454176928,1.281154300535453,0000001322,True,True,True
30,0.509637048178955,0.25,0.19591874946782617,9027.815303253194,2.3828284159602573,0.024849460996877466,0,mild,0,,,1.133930115812517,1.0608222116129074,0000000216,False,False,False
31,0.5091575029404826,0.25,0.19591874946782617,83102.99961639548,7.227253035139832,0.02484918158131227,1,strong,0,,,1.1690725780794338,1.104511097191802,0000000509,True,False,True
32,16.450247310294905,0.15000000000000002,11.295918749467827,661771.8745030217,151.06197340975334,0.13189804411346798,2,mild,1,16.4431,162.45668757615917,0.9019898648510196,0.8814894778039915,0000000992,True,True,True
33,47.94316946877198,0.1,22.620918749467826,10326.4864879711,38.408493271989244,0.2675504187020754,0,mild,0,,,0.9781318664291856,0.9347227558266832,0000000356,False,False,False
34,4.703792323782226,0.15000000000000002,0.14591874946782618,364286.79771381343,59.18409981004298,0.07047787655145771,3,strong,1,4.7032,70.65175166618023,1.0636451912786833,1.2230209229582891,0000001338,True,True,True
35,7.319257119434739,0.15000000000000002,1.5959187494678264,4830501.56608925,267.5125906649726,0.08697707640712563,2,mild,1,7.318,250.9844450327508,1.1714154088972284,1.3361428898458128,0000000937,True,True,True
36,10.90769599965094,0.1,6.220918749467827,4004193.374846732,365.339722032646,0.12970131035013507,2,mild,1,10.9085,293.29654333727314,0.903161280259804,0.8873739834322333,0000000921,True,True,True
37,5.73897506140908,0.15000000000000002,1.5459187494678264,17458985.6632635,453.2105816643205,0.07772278653371058,2,mild,1,5.7379,405.0202200175535,1.1854723938039953,1.3606717596785471,0000001045,True,True,True
38,18.635465715812096,0.25,18.245918749467826,32893.6190212263,27.985378419226215,0.109823083284368,3,strong,1,37.2692,109.15180664663956,1.1690725780794338,1.3901854366527164,0000001265,True,False,False
39,6.51090613130765,0.15000000000000002,5.545918749467827,8543132.342439288,340.92974803383186,0.08343035500322525,3,strong,1,6.512,372.90502334816546,1.0613023604607903,0.9692971044349776,0000001477,True,True,True
40,0.556387898382378,0.25,0.14591874946782618,37007.736319294134,5.066487049893156,0.024973498987978387,1,strong,0,,,1.0449025447363278,1.2511795687761116,0000000685,True,False,True
41,0.5105816467692039,0.25,0.14591874946782618,57047.12911795218,5.985131310272663,0.024850513625737612,1,strong,0,,,1.1058161459989837,1.1662762178261077,0000000571,True,False,True
42,0.549905596392499,0.15000000000000002,0.24591874946782621,9296.179099275507,3.2419276798146037,0.02788476792481487,0,mild,0,,,1.0613023604607903,0.9692971044349776,0000000211,False,False,False
43,15.667728625894394,0.15000000000000002,12.295918749467827,414386.2734223768,118.52000809737824,0.13078567017773754,2,mild,1,15.6622,137.46844139734606,0.903161280259804,0.880556140763373,0000001072,True,True,True
44,0.6631213543688332,0.15000000000000002,0.14591874946782618,11696.725646656903,3.996026293554731,0.029698411595091102,0,mild,0,,,1.129244454176928,1.3164695906611792,0000000352,False,False,False
45,11.123924651438742,0.15000000000000002,7.545918749467827,3331313.0702810637,275.1575197740488,0.1073316445442934,3,strong,1,11.1216,282.83599747386194,0.9511893120245496,1.0316330073371842,0000001419,True,True,True
46,0.5488895776666218,0.25,0.4459187494678262,16191.28406102948,2.2931817900138185,0.024944630144054895,1,strong,0,,,1.030845559829561,0.9412082390886132,0000000530,True,False,True
47,10.499513506324417,0.15000000000000002,7.695918749467827,26222.793174011716,26.269250171621877,0.11538651195694034,1,strong,0,,,0.9582178044779328,0.9780774049896748,0000000407,True,False,True
