file_id,label,activity_class,teff,logg,star_mass_msun,star_radius_rsun,rotation_period_days,inclination_deg,sigma_ppm,tau_days,spot_enable,spot_count,spot_radius_deg,spot_contrast,spot_lifetime_days,spot_latitude_deg,spot_longitude_deg,spot_domega,flare_enable,flare_mean_period_days,flare_amplitude_ppm,planet_present,planet_period_days,planet_radius_rjup,planet_radius_earth,planet_sma_au,transit_depth_ppm,seed
0000001003,2,mild,6373.3,4.31,1.129244454176928,1.2309197169994996,23.34,84.06,10.54,0.817,1,1,0.96,0.681,16.0,9.47,264.86,0.177,1,59.71,68.4,1,3.3447,0.11532,1.26852,0.04558,88.5624643903712,25292915
0000001359,3,strong,6310.6,4.284,1.1198731309057504,1.2622446115185477,18.23,50.15,107.21,3.962,1,2,2.205,0.558,14.0,-5.33,224.0,0.134,1,1.273,544.9,1,16.6958,0.25945,2.85395,0.13276,426.30475958818823,1716977898
0000000713,1,strong,5639.7,4.506,0.9582178044779328,0.9049090692431206,16.15,58.25,73.23,4.009,1,5,1.916,0.49,18.3,-1.14,227.76,0.105,1,5.69,342.7,0,,,,,,1473751144
0000000316,0,mild,6162.2,4.528,1.0941019919100112,1.0032833263319128,34.36,61.59,12.11,1.029,1,2,1.065,0.76,10.3,3.15,92.61,0.163,1,41.53,36.7,0,,,,,,1034902810
0000001301,3,strong,5282.6,4.317,1.0812164224121417,1.1890727666689471,15.37,28.19,92.52,3.971,1,4,2.215,0.474,16.2,-3.0,252.79,0.105,1,1.244,260.7,1,12.6726,0.13075,1.43825,0.10918,122.00184883407616,668162769
0000000345,0,mild,6006.9,4.327,1.065988022096431,1.1716799321641116,20.3,82.6,5.65,1.204,1,2,0.755,0.647,6.0,-3.67,128.99,0.196,1,75.85,26.4,0,,,,,,345162777
0000000442,1,strong,5925.0,4.525,1.016788574922794,0.9284620153149762,12.34,39.39,90.27,4.088,1,5,2.24,0.572,10.7,-5.72,162.37,0.123,1,1.221,129.6,0,,,,,,1398711950
0000000787,2,mild,5312.6,4.526,0.9031612802598041,0.8558677871759652,26.74,65.85,13.9,1.64,1,2,1.095,0.698,13.2,-4.43,223.32,0.138,1,23.45,42.2,1,23.062,0.13358,1.4693800000000001,0.15327,245.7929367994159,1191501944
0000000332,0,mild,6184.1,4.363,1.0683308529142723,1.1266816925875762,34.81,31.05,31.11,0.894,1,3,1.237,0.712,17.0,-10.45,209.05,0.212,1,47.83,67.0,0,,,,,,994178163
0000001131,3,strong,5588.4,4.396,1.000388759198233,1.0484742760947012,8.23,36.4,128.19,1.958,1,2,2.29,0.496,7.3,-14.45,141.52,0.09,1,3.677,206.4,1,14.9604,0.09447,1.03917,0.11884,81.91664435705867,1464764994
0000000519,1,strong,5723.3,4.427,0.9219039268021187,0.973557061833379,21.09,71.05,29.87,1.975,1,5,2.54,0.503,21.8,3.65,139.83,0.114,1,2.271,113.6,0,,,,,,625662821
0000000189,0,mild,5506.3,4.211,1.1936723016662756,1.4042675752221547,30.36,58.55,12.36,1.331,1,1,1.31,0.699,14.7,-19.75,326.77,0.196,1,22.07,24.3,0,,,,,,1265955204
0000001092,2,mild,5650.2,4.231,1.194843717075173,1.39227834020187,20.71,45.75,28.29,1.267,1,3,1.387,0.668,9.7,2.31,210.29,0.187,1,42.28,15.5,1,11.1822,0.16992,1.86912,0.10385,150.29230573510242,196930002
0000001388,3,strong,5859.6,4.277,0.9781318664291857,1.1903815171925896,21.13,86.39,44.75,4.832,1,5,2.548,0.504,20.5,1.94,247.81,0.119,1,4.606,122.9,1,23.7131,0.32854,3.61394,0.16035,768.6064730262117,104074365
0000000958,2,mild,6010.4,4.373,0.9816461126558773,1.0664358727861625,29.36,24.46,29.26,1.863,1,3,1.253,0.742,12.6,1.81,284.4,0.182,1,57.4,77.4,1,35.2966,0.25609,2.8169899999999997,0.20929,581.856153368963,753673331
0000000432,1,strong,5541.7,4.309,1.0812164224121417,1.2007405391058144,21.95,28.32,36.72,1.517,1,5,1.89,0.561,23.8,5.75,114.91,0.128,1,2.004,319.5,0,,,,,,1466063941
0000001037,2,mild,5350.4,4.355,1.0542738680075054,1.1314352315176643,21.67,37.12,10.3,2.325,1,3,0.88,0.706,10.0,4.38,178.59,0.198,1,39.27,15.7,1,15.8425,0.31894,3.50834,0.12564,801.7859947583567,1620169929
0000000286,0,mild,6205.8,4.398,1.108158976816778,1.1019611746888422,29.6,33.37,7.23,0.574,1,3,1.327,0.644,16.9,12.19,172.42,0.188,1,21.56,37.4,0,,,,,,1773224544
0000000817,2,mild,5863.9,4.456,0.9957030975626441,0.9757149080258853,31.71,89.54,6.91,0.934,1,3,1.04,0.748,13.2,-4.45,151.7,0.196,1,24.55,18.0,1,22.6989,0.16688,1.83568,0.15667,295.163453455928,924199902
0000001179,3,strong,6372.2,4.224,1.1714154088972284,1.3785394000076667,12.63,85.99,33.06,4.828,1,4,1.875,0.57,9.6,8.86,130.33,0.08,1,4.652,217.2,1,45.1357,0.13485,1.48335,0.26153,96.55247645364969,1586234577
